Route_ID,stop,type,lat,lon,zone_id
RouteID_1d916cbe-36b2-49af-8025-e086007be433,AA,Dropoff,34.014293,-117.74679,A-23.3A
RouteID_1d916cbe-36b2-49af-8025-e086007be433,AD,Dropoff,34.008684,-117.744874,A-22.2A
RouteID_1d916cbe-36b2-49af-8025-e086007be433,AJ,Dropoff,33.988439,-117.72967,A-22.2G
RouteID_1d916cbe-36b2-49af-8025-e086007be433,AL,Dropoff,33.997957,-117.738188,A-22.3E
RouteID_1d916cbe-36b2-49af-8025-e086007be433,AW,Dropoff,34.014562,-117.746491,A-23.3A
RouteID_1d916cbe-36b2-49af-8025-e086007be433,BB,Dropoff,34.009999,-117.736465,A-22.3D
RouteID_1d916cbe-36b2-49af-8025-e086007be433,BE,Dropoff,34.007981,-117.738659,A-22.3D
RouteID_1d916cbe-36b2-49af-8025-e086007be433,BJ,Dropoff,33.986988,-117.720135,A-22.1H
RouteID_1d916cbe-36b2-49af-8025-e086007be433,BK,Dropoff,34.003569,-117.73812,A-22.3C
RouteID_1d916cbe-36b2-49af-8025-e086007be433,BP,Dropoff,34.009041,-117.744231,A-22.2A
RouteID_1d916cbe-36b2-49af-8025-e086007be433,BQ,Dropoff,34.003806,-117.730696,A-22.1E
RouteID_1d916cbe-36b2-49af-8025-e086007be433,BU,Station,33.965477,-117.653303,nan
RouteID_1d916cbe-36b2-49af-8025-e086007be433,BV,Dropoff,34.011189,-117.750371,A-22.3B
RouteID_1d916cbe-36b2-49af-8025-e086007be433,CC,Dropoff,34.005492,-117.743364,A-22.1C
RouteID_1d916cbe-36b2-49af-8025-e086007be433,CD,Dropoff,34.008245,-117.740479,A-23.1A
RouteID_1d916cbe-36b2-49af-8025-e086007be433,CI,Dropoff,33.988195,-117.717816,A-22.1H
RouteID_1d916cbe-36b2-49af-8025-e086007be433,CL,Dropoff,34.00832,-117.739282,A-22.3D
RouteID_1d916cbe-36b2-49af-8025-e086007be433,CP,Dropoff,34.009934,-117.752612,A-22.1B
RouteID_1d916cbe-36b2-49af-8025-e086007be433,CT,Dropoff,34.009574,-117.737725,A-22.3D
RouteID_1d916cbe-36b2-49af-8025-e086007be433,DG,Dropoff,34.008257,-117.740586,A-23.1A
RouteID_1d916cbe-36b2-49af-8025-e086007be433,DJ,Dropoff,33.988635,-117.724495,A-22.2G
RouteID_1d916cbe-36b2-49af-8025-e086007be433,DO,Dropoff,33.99981,-117.734476,A-22.3E
RouteID_1d916cbe-36b2-49af-8025-e086007be433,DQ,Dropoff,34.005474,-117.741598,A-22.2C
RouteID_1d916cbe-36b2-49af-8025-e086007be433,DT,Dropoff,34.00927,-117.741442,A-23.1A
RouteID_1d916cbe-36b2-49af-8025-e086007be433,EE,Dropoff,33.992347,-117.739459,A-22.3G
RouteID_1d916cbe-36b2-49af-8025-e086007be433,EJ,Dropoff,34.01595,-117.747517,A-23.3B
RouteID_1d916cbe-36b2-49af-8025-e086007be433,EM,Dropoff,34.007466,-117.745931,A-22.1C
RouteID_1d916cbe-36b2-49af-8025-e086007be433,EN,Dropoff,34.015004,-117.748379,A-23.3B
RouteID_1d916cbe-36b2-49af-8025-e086007be433,EP,Dropoff,33.988446,-117.726901,A-22.2G
RouteID_1d916cbe-36b2-49af-8025-e086007be433,EW,Dropoff,34.009982,-117.752957,A-22.1B
RouteID_1d916cbe-36b2-49af-8025-e086007be433,EY,Dropoff,34.003574,-117.738001,A-22.3C
RouteID_1d916cbe-36b2-49af-8025-e086007be433,FA,Dropoff,34.005911,-117.740675,A-22.2C
RouteID_1d916cbe-36b2-49af-8025-e086007be433,FB,Dropoff,34.0038,-117.734921,A-22.3C
RouteID_1d916cbe-36b2-49af-8025-e086007be433,FD,Dropoff,34.000355,-117.739696,A-22.3E
RouteID_1d916cbe-36b2-49af-8025-e086007be433,FH,Dropoff,34.011866,-117.749357,A-22.2B
RouteID_1d916cbe-36b2-49af-8025-e086007be433,FL,Dropoff,33.997985,-117.737461,A-22.3E
RouteID_1d916cbe-36b2-49af-8025-e086007be433,FM,Dropoff,33.989347,-117.721665,A-22.2G
RouteID_1d916cbe-36b2-49af-8025-e086007be433,FO,Dropoff,33.9895,-117.729687,A-22.2G
RouteID_1d916cbe-36b2-49af-8025-e086007be433,FP,Dropoff,34.01202,-117.742414,A-23.1A
RouteID_1d916cbe-36b2-49af-8025-e086007be433,FS,Dropoff,34.004605,-117.740055,A-22.3C
RouteID_1d916cbe-36b2-49af-8025-e086007be433,FY,Dropoff,34.01425,-117.749827,A-23.3B
RouteID_1d916cbe-36b2-49af-8025-e086007be433,GK,Dropoff,33.998525,-117.740029,A-22.3E
RouteID_1d916cbe-36b2-49af-8025-e086007be433,GM,Dropoff,34.009729,-117.746169,A-22.3A
RouteID_1d916cbe-36b2-49af-8025-e086007be433,GN,Dropoff,34.004686,-117.73155,A-22.1E
RouteID_1d916cbe-36b2-49af-8025-e086007be433,GO,Dropoff,34.011124,-117.744223,A-22.3A
RouteID_1d916cbe-36b2-49af-8025-e086007be433,GR,Dropoff,34.006221,-117.74114,A-22.2C
RouteID_1d916cbe-36b2-49af-8025-e086007be433,GV,Dropoff,33.997811,-117.73382,A-22.3E
RouteID_1d916cbe-36b2-49af-8025-e086007be433,GW,Dropoff,33.99911,-117.739739,A-22.3E
RouteID_1d916cbe-36b2-49af-8025-e086007be433,HB,Dropoff,34.005548,-117.735387,A-22.1D
RouteID_1d916cbe-36b2-49af-8025-e086007be433,HE,Dropoff,33.994843,-117.741713,A-22.3G
RouteID_1d916cbe-36b2-49af-8025-e086007be433,HH,Dropoff,33.988017,-117.720549,A-22.1H
RouteID_1d916cbe-36b2-49af-8025-e086007be433,HO,Dropoff,33.987564,-117.72037,A-22.1H
RouteID_1d916cbe-36b2-49af-8025-e086007be433,HP,Dropoff,34.004304,-117.73838,A-22.3C
RouteID_1d916cbe-36b2-49af-8025-e086007be433,HT,Dropoff,34.003637,-117.737626,A-22.3C
RouteID_1d916cbe-36b2-49af-8025-e086007be433,HU,Dropoff,34.00098,-117.738121,A-22.2E
RouteID_1d916cbe-36b2-49af-8025-e086007be433,HX,Dropoff,33.988078,-117.717421,A-22.1H
RouteID_1d916cbe-36b2-49af-8025-e086007be433,IG,Dropoff,33.999062,-117.737415,A-22.3E
RouteID_1d916cbe-36b2-49af-8025-e086007be433,II,Dropoff,34.012516,-117.747952,A-22.2B
RouteID_1d916cbe-36b2-49af-8025-e086007be433,IJ,Dropoff,34.006157,-117.734413,A-22.1D
RouteID_1d916cbe-36b2-49af-8025-e086007be433,IK,Dropoff,34.001555,-117.737995,A-22.2E
RouteID_1d916cbe-36b2-49af-8025-e086007be433,IM,Dropoff,34.015777,-117.747611,A-23.3B
RouteID_1d916cbe-36b2-49af-8025-e086007be433,IO,Dropoff,34.010101,-117.748893,A-22.2B
RouteID_1d916cbe-36b2-49af-8025-e086007be433,IQ,Dropoff,34.016199,-117.74785,A-23.3B
RouteID_1d916cbe-36b2-49af-8025-e086007be433,JA,Dropoff,34.007263,-117.73624,A-22.1D
RouteID_1d916cbe-36b2-49af-8025-e086007be433,JQ,Dropoff,34.006946,-117.731334,A-22.1E
RouteID_1d916cbe-36b2-49af-8025-e086007be433,JT,Dropoff,34.008344,-117.745485,A-22.2A
RouteID_1d916cbe-36b2-49af-8025-e086007be433,KD,Dropoff,33.987319,-117.720503,A-22.1H
RouteID_1d916cbe-36b2-49af-8025-e086007be433,KI,Dropoff,34.005841,-117.730372,A-22.1E
RouteID_1d916cbe-36b2-49af-8025-e086007be433,KJ,Dropoff,34.014246,-117.748927,A-23.2A
RouteID_1d916cbe-36b2-49af-8025-e086007be433,KL,Dropoff,34.007768,-117.748686,A-22.1C
RouteID_1d916cbe-36b2-49af-8025-e086007be433,KO,Dropoff,34.005288,-117.732839,A-22.1D
RouteID_1d916cbe-36b2-49af-8025-e086007be433,KQ,Dropoff,34.004119,-117.736473,A-22.3C
RouteID_1d916cbe-36b2-49af-8025-e086007be433,KR,Dropoff,34.010408,-117.748779,A-22.2B
RouteID_1d916cbe-36b2-49af-8025-e086007be433,KT,Dropoff,34.007805,-117.734149,A-22.2D
RouteID_1d916cbe-36b2-49af-8025-e086007be433,KW,Dropoff,34.014525,-117.748416,A-23.3B
RouteID_1d916cbe-36b2-49af-8025-e086007be433,LE,Dropoff,34.009685,-117.749906,A-22.2B
RouteID_1d916cbe-36b2-49af-8025-e086007be433,LF,Dropoff,34.012514,-117.748548,A-22.2B
RouteID_1d916cbe-36b2-49af-8025-e086007be433,LO,Dropoff,34.006465,-117.750887,A-22.1B
RouteID_1d916cbe-36b2-49af-8025-e086007be433,LW,Dropoff,34.007744,-117.748045,A-22.1C
RouteID_1d916cbe-36b2-49af-8025-e086007be433,MF,Dropoff,33.991139,-117.71513,A-22.2H
RouteID_1d916cbe-36b2-49af-8025-e086007be433,MG,Dropoff,34.008321,-117.74227,A-22.2A
RouteID_1d916cbe-36b2-49af-8025-e086007be433,MI,Dropoff,34.008227,-117.740605,A-22.1A
RouteID_1d916cbe-36b2-49af-8025-e086007be433,MN,Dropoff,34.005421,-117.73337,A-22.1D
RouteID_1d916cbe-36b2-49af-8025-e086007be433,ND,Dropoff,34.006792,-117.734419,A-22.1D
RouteID_1d916cbe-36b2-49af-8025-e086007be433,NE,Dropoff,34.016673,-117.748245,A-23.3B
RouteID_1d916cbe-36b2-49af-8025-e086007be433,NG,Dropoff,34.006195,-117.730598,A-22.1E
RouteID_1d916cbe-36b2-49af-8025-e086007be433,NJ,Dropoff,34.007218,-117.750728,A-22.1B
RouteID_1d916cbe-36b2-49af-8025-e086007be433,NK,Dropoff,34.012121,-117.740829,A-23.1A
RouteID_1d916cbe-36b2-49af-8025-e086007be433,NO,Dropoff,33.989426,-117.717284,A-22.1G
RouteID_1d916cbe-36b2-49af-8025-e086007be433,OC,Dropoff,34.010292,-117.739401,A-22.3D
RouteID_1d916cbe-36b2-49af-8025-e086007be433,OD,Dropoff,34.010426,-117.74539,A-22.3A
RouteID_1d916cbe-36b2-49af-8025-e086007be433,OL,Dropoff,33.998782,-117.732619,A-22.3G
RouteID_1d916cbe-36b2-49af-8025-e086007be433,OM,Dropoff,34.01209,-117.746029,A-23.2A
RouteID_1d916cbe-36b2-49af-8025-e086007be433,ON,Dropoff,34.0078,-117.746899,A-22.1C
RouteID_1d916cbe-36b2-49af-8025-e086007be433,OP,Dropoff,33.997687,-117.73978,A-22.3E
RouteID_1d916cbe-36b2-49af-8025-e086007be433,OQ,Dropoff,33.997216,-117.716104,A-22.2H
RouteID_1d916cbe-36b2-49af-8025-e086007be433,OT,Dropoff,33.989328,-117.722133,A-22.2G
RouteID_1d916cbe-36b2-49af-8025-e086007be433,OZ,Dropoff,33.993736,-117.739456,A-22.3G
RouteID_1d916cbe-36b2-49af-8025-e086007be433,PG,Dropoff,33.989327,-117.716914,A-22.1G
RouteID_1d916cbe-36b2-49af-8025-e086007be433,PH,Dropoff,33.989407,-117.718826,A-22.1G
RouteID_1d916cbe-36b2-49af-8025-e086007be433,PI,Dropoff,33.998385,-117.736348,A-22.3E
RouteID_1d916cbe-36b2-49af-8025-e086007be433,PJ,Dropoff,34.006962,-117.736971,A-22.1D
RouteID_1d916cbe-36b2-49af-8025-e086007be433,PQ,Dropoff,34.006296,-117.734553,A-22.1D
RouteID_1d916cbe-36b2-49af-8025-e086007be433,QC,Dropoff,33.98971,-117.712423,A-22.2H
RouteID_1d916cbe-36b2-49af-8025-e086007be433,QD,Dropoff,34.015011,-117.743797,A-23.3A
RouteID_1d916cbe-36b2-49af-8025-e086007be433,QE,Dropoff,34.008814,-117.735199,A-22.2D
RouteID_1d916cbe-36b2-49af-8025-e086007be433,QF,Dropoff,34.015343,-117.74976,A-23.3B
RouteID_1d916cbe-36b2-49af-8025-e086007be433,QH,Dropoff,34.016856,-117.749594,A-23.3B
RouteID_1d916cbe-36b2-49af-8025-e086007be433,QM,Dropoff,33.989299,-117.723047,A-22.2G
RouteID_1d916cbe-36b2-49af-8025-e086007be433,QP,Dropoff,34.013995,-117.747276,A-23.2A
RouteID_1d916cbe-36b2-49af-8025-e086007be433,QQ,Dropoff,33.99269,-117.715143,A-22.2H
RouteID_1d916cbe-36b2-49af-8025-e086007be433,QT,Dropoff,34.011035,-117.742218,A-23.1A
RouteID_1d916cbe-36b2-49af-8025-e086007be433,QX,Dropoff,34.004022,-117.735827,A-22.3C
RouteID_1d916cbe-36b2-49af-8025-e086007be433,QZ,Dropoff,33.998294,-117.735379,A-22.3E
RouteID_1d916cbe-36b2-49af-8025-e086007be433,RL,Dropoff,33.998028,-117.737539,A-22.3E
RouteID_1d916cbe-36b2-49af-8025-e086007be433,RR,Dropoff,33.990399,-117.743281,A-22.3G
RouteID_1d916cbe-36b2-49af-8025-e086007be433,RW,Dropoff,34.000988,-117.736224,A-22.2E
RouteID_1d916cbe-36b2-49af-8025-e086007be433,RZ,Dropoff,34.008224,-117.733071,A-22.2D
RouteID_1d916cbe-36b2-49af-8025-e086007be433,SO,Dropoff,34.006373,-117.735491,A-22.1D
RouteID_1d916cbe-36b2-49af-8025-e086007be433,SZ,Dropoff,34.008516,-117.738082,A-22.3D
RouteID_1d916cbe-36b2-49af-8025-e086007be433,TC,Dropoff,33.998336,-117.723825,A-22.2E
RouteID_1d916cbe-36b2-49af-8025-e086007be433,TH,Dropoff,34.009529,-117.743335,A-22.2A
RouteID_1d916cbe-36b2-49af-8025-e086007be433,TL,Dropoff,34.004407,-117.741673,A-22.1C
RouteID_1d916cbe-36b2-49af-8025-e086007be433,TV,Dropoff,33.997213,-117.713182,A-22.2H
RouteID_1d916cbe-36b2-49af-8025-e086007be433,TW,Dropoff,34.006421,-117.750574,A-22.1B
RouteID_1d916cbe-36b2-49af-8025-e086007be433,UA,Dropoff,33.994564,-117.715159,A-22.2H
RouteID_1d916cbe-36b2-49af-8025-e086007be433,UB,Dropoff,34.016186,-117.747831,A-23.3B
RouteID_1d916cbe-36b2-49af-8025-e086007be433,UK,Dropoff,34.008328,-117.752238,A-22.1B
RouteID_1d916cbe-36b2-49af-8025-e086007be433,UO,Dropoff,34.003847,-117.729857,A-22.1E
RouteID_1d916cbe-36b2-49af-8025-e086007be433,VB,Dropoff,34.008368,-117.74385,A-22.2A
RouteID_1d916cbe-36b2-49af-8025-e086007be433,VG,Dropoff,34.005011,-117.730029,A-22.1E
RouteID_1d916cbe-36b2-49af-8025-e086007be433,VP,Dropoff,33.988511,-117.72541,A-22.2G
RouteID_1d916cbe-36b2-49af-8025-e086007be433,VQ,Dropoff,34.006972,-117.745978,A-22.1C
RouteID_1d916cbe-36b2-49af-8025-e086007be433,VT,Dropoff,34.010933,-117.750833,A-22.3B
RouteID_1d916cbe-36b2-49af-8025-e086007be433,VZ,Dropoff,34.00709,-117.744732,A-22.1C
RouteID_1d916cbe-36b2-49af-8025-e086007be433,WE,Dropoff,34.006375,-117.750214,A-22.1B
RouteID_1d916cbe-36b2-49af-8025-e086007be433,WQ,Dropoff,33.987164,-117.71793,A-22.1H
RouteID_1d916cbe-36b2-49af-8025-e086007be433,XI,Dropoff,34.009842,-117.749882,A-22.2B
RouteID_1d916cbe-36b2-49af-8025-e086007be433,XK,Dropoff,34.009336,-117.751204,A-22.1B
RouteID_1d916cbe-36b2-49af-8025-e086007be433,XM,Dropoff,34.008902,-117.73865,A-22.3D
RouteID_1d916cbe-36b2-49af-8025-e086007be433,XT,Dropoff,33.988572,-117.720549,A-22.1G
RouteID_1d916cbe-36b2-49af-8025-e086007be433,XX,Dropoff,34.004763,-117.742168,A-22.1C
RouteID_1d916cbe-36b2-49af-8025-e086007be433,YG,Dropoff,34.012276,-117.738694,A-22.3D
RouteID_1d916cbe-36b2-49af-8025-e086007be433,YH,Dropoff,34.00692,-117.748677,A-22.1C
RouteID_1d916cbe-36b2-49af-8025-e086007be433,YJ,Dropoff,34.005191,-117.739035,A-22.3C
RouteID_1d916cbe-36b2-49af-8025-e086007be433,YM,Dropoff,34.006376,-117.740681,A-22.2C
RouteID_1d916cbe-36b2-49af-8025-e086007be433,YQ,Dropoff,34.009966,-117.744814,A-22.3A
RouteID_1d916cbe-36b2-49af-8025-e086007be433,YX,Dropoff,34.013203,-117.745031,A-23.2A
RouteID_1d916cbe-36b2-49af-8025-e086007be433,YZ,Dropoff,34.014954,-117.747471,A-23.3A
RouteID_1d916cbe-36b2-49af-8025-e086007be433,ZA,Dropoff,34.000987,-117.737136,A-22.2E
RouteID_1d916cbe-36b2-49af-8025-e086007be433,ZJ,Dropoff,34.011025,-117.744938,A-22.3A
RouteID_1d916cbe-36b2-49af-8025-e086007be433,ZO,Dropoff,34.006568,-117.733662,A-22.1D
RouteID_1d916cbe-36b2-49af-8025-e086007be433,ZR,Dropoff,33.987231,-117.718819,A-22.1H
RouteID_1d916cbe-36b2-49af-8025-e086007be433,ZV,Dropoff,34.008971,-117.748164,A-22.3A
RouteID_1d916cbe-36b2-49af-8025-e086007be433,ZX,Dropoff,34.00906,-117.743705,A-22.2A
RouteID_1d6a4033-59f4-4930-bbcc-ce4245b001bc,AF,Dropoff,33.87097,-117.956541,E-1.2J
RouteID_1d6a4033-59f4-4930-bbcc-ce4245b001bc,AU,Dropoff,33.876383,-117.930724,E-1.2E
RouteID_1d6a4033-59f4-4930-bbcc-ce4245b001bc,AY,Dropoff,33.874611,-117.953689,E-1.3H
RouteID_1d6a4033-59f4-4930-bbcc-ce4245b001bc,BC,Dropoff,33.872893,-117.93754,E-2.3H
RouteID_1d6a4033-59f4-4930-bbcc-ce4245b001bc,BD,Dropoff,33.881139,-117.93572,E-1.2C
RouteID_1d6a4033-59f4-4930-bbcc-ce4245b001bc,BE,Dropoff,33.872988,-117.956191,E-1.2J
RouteID_1d6a4033-59f4-4930-bbcc-ce4245b001bc,BF,Dropoff,33.881131,-117.938537,E-1.2C
RouteID_1d6a4033-59f4-4930-bbcc-ce4245b001bc,BP,Dropoff,33.876567,-117.937081,E-1.1C
RouteID_1d6a4033-59f4-4930-bbcc-ce4245b001bc,BR,Dropoff,33.87872,-117.930922,E-1.2D
RouteID_1d6a4033-59f4-4930-bbcc-ce4245b001bc,BT,Dropoff,33.870973,-117.955197,E-1.2J
RouteID_1d6a4033-59f4-4930-bbcc-ce4245b001bc,BW,Dropoff,33.879498,-117.939383,E-1.1B
RouteID_1d6a4033-59f4-4930-bbcc-ce4245b001bc,BY,Dropoff,33.876372,-117.932693,E-1.2E
RouteID_1d6a4033-59f4-4930-bbcc-ce4245b001bc,CH,Dropoff,33.875976,-117.946684,E-1.1G
RouteID_1d6a4033-59f4-4930-bbcc-ce4245b001bc,CN,Dropoff,33.875419,-117.941134,E-1.2G
RouteID_1d6a4033-59f4-4930-bbcc-ce4245b001bc,CP,Dropoff,33.874514,-117.926921,E-1.1E
RouteID_1d6a4033-59f4-4930-bbcc-ce4245b001bc,CQ,Dropoff,33.884109,-117.931127,E-1.3D
RouteID_1d6a4033-59f4-4930-bbcc-ce4245b001bc,CT,Dropoff,33.877387,-117.941037,E-1.1B
RouteID_1d6a4033-59f4-4930-bbcc-ce4245b001bc,DB,Dropoff,33.876444,-117.935322,E-1.3G
RouteID_1d6a4033-59f4-4930-bbcc-ce4245b001bc,DH,Dropoff,33.877282,-117.931179,E-1.2D
RouteID_1d6a4033-59f4-4930-bbcc-ce4245b001bc,DI,Dropoff,33.87275,-117.951777,E-1.2H
RouteID_1d6a4033-59f4-4930-bbcc-ce4245b001bc,DO,Dropoff,33.872754,-117.944917,E-2.2J
RouteID_1d6a4033-59f4-4930-bbcc-ce4245b001bc,DP,Dropoff,33.881129,-117.937876,E-1.2C
RouteID_1d6a4033-59f4-4930-bbcc-ce4245b001bc,DR,Dropoff,33.87451,-117.92727,E-1.1E
RouteID_1d6a4033-59f4-4930-bbcc-ce4245b001bc,DY,Dropoff,33.875718,-117.936242,E-1.3G
RouteID_1d6a4033-59f4-4930-bbcc-ce4245b001bc,EG,Dropoff,33.871175,-117.956128,E-1.2J
RouteID_1d6a4033-59f4-4930-bbcc-ce4245b001bc,EJ,Dropoff,33.880035,-117.941058,E-1.1B
